syslog10k.log,,,,,,,,,,
7.591453,7.429876,7.876687,7.028379,6.424916,7.2702622,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
6.513572,6.898063,6.634954,6.621243,6.620398,7.132712,6.861207,6.276292,6.372271,6.852851,6.6783563
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
0.901295,0.833096,0.848193,0.715341,0.755736,0.8107322,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
0.809771,0.726977,0.651932,0.781243,0.806879,0.711987,0.681165,0.781716,0.817539,0.781046,0.7550255
,,,,,,,,,,
syslog20k.log.gz,,,,,,,,,,
syslog2500.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.003996,0.003998,0.00834,0.004009,0.007986,0.0056658,,,,,
,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.007989,0.003995,0.00405,0.003996,0.008042,0.005401,0.003993,0.003994,0.003999,0.003997,0.0049456
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
0.905643,0.843486,0.822927,0.832346,0.77204,0.8352884,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
0.841082,0.792773,0.800082,0.846152,0.808224,0.782356,0.771444,0.766224,0.753535,0.761369,0.7923241
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
0.079895,0.113512,0.059917,0.065634,0.10616,0.0850236,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
0.089706,0.102657,0.066594,0.06496,0.08795,0.061157,0.075894,0.091876,0.082088,0.089098,0.081198
,,,,,,,,,,
syslog2500.log.gz,,,,,,,,,,
syslog5000.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.009112,0.009353,0.010069,0.007989,0.010154,0.0093354,,,,,
,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.011979,0.012078,0.010055,0.008071,0.007989,0.010305,0.010648,0.010047,0.011986,0.01198,0.0105138
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
1.517094,1.675769,1.63302,1.58653,1.547483,1.5919792,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
1.591923,1.587317,1.766578,1.532302,1.487989,1.514339,1.481882,1.467395,1.49228,1.520102,1.5442107
,,,,,,,,,,
